City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
465,Kosikha,RU,75.2,overcast clouds,53.36,84.58,
467,Esil,KZ,74.1,clear sky,51.96,66.4,Egorkino Hotel
468,Savalou,BJ,74.91,overcast clouds,7.93,1.98,Hotel F&F
469,Baglung,NP,80.38,light rain,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
470,Carutapera,BR,75.36,light rain,-1.2,-46.02,Lidera
471,Orzu,TJ,75.2,broken clouds,37.56,68.82,
472,Taft,IR,77.0,scattered clouds,31.75,54.21,بوم گردی حاجی زینل تفت
473,Vetapalem,IN,89.91,clear sky,15.78,80.32,G.S Lodge
474,Misratah,LY,79.36,clear sky,32.38,15.09,فندق الماسة
478,Salym,RU,70.97,overcast clouds,60.06,71.48,Shinomontazh
483,Bongandanga,CD,70.52,overcast clouds,1.5,21.05,
487,Zhanakorgan,KZ,80.01,few clouds,43.91,67.25,"""Ақпалас"" қонақ үйі"
489,Agalteca,HN,82.4,scattered clouds,14.45,-87.27,
493,Villa Bruzual,VE,79.27,clear sky,9.33,-69.12,Hotel Turen
498,Palampur,IN,76.66,scattered clouds,32.12,76.53,Hotel Yamini
499,Kissidougou,GN,71.35,overcast clouds,9.18,-10.1,Hôtel Mantis
502,Mamallapuram,IN,89.6,scattered clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
503,Arlit,NE,84.43,clear sky,18.74,7.39,Hôtel Telwa Bungalow
504,Shieli,KZ,79.81,scattered clouds,44.17,66.75,Gostinitsa Aybek Shieli
505,Puerto Quijarro,BO,73.54,clear sky,-17.78,-57.77,Hotel palance
507,Loralai,PK,83.16,overcast clouds,30.37,68.6,City Hotel. Loralai. Blochistan
510,Onguday,RU,73.76,broken clouds,50.75,86.15,"Gostinitsa ""Motel'"""
511,Kurchum,KZ,73.11,overcast clouds,48.57,83.65,
515,Dusti,TJ,75.2,broken clouds,37.35,68.66,Hotel Izzat
518,Murgab,TM,71.6,clear sky,37.5,61.97,
524,Puerto Ayacucho,VE,76.5,broken clouds,5.66,-67.62,Posada Turistica Manapiare
525,Jawhar,SO,78.33,broken clouds,2.78,45.5,hantiwadaag village part one
530,Lebyazhye,RU,70.12,scattered clouds,55.27,66.49,
531,Monrovia,LR,79.92,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
532,Edd,ER,85.93,few clouds,13.93,41.69,
533,Geraldton,AU,73.4,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
535,Barra Do Corda,BR,72.72,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
538,Guryevsk,RU,79.84,clear sky,54.28,85.93,Hotel Sibir
540,Yarada,IN,87.8,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
543,Mutis,CO,80.35,light rain,6.23,-77.4,Paraiso Escondido
545,Duverge,DO,74.12,overcast clouds,18.38,-71.52,Hotel Argentina
546,Hargeysa,SO,71.71,broken clouds,9.56,44.06,Imperial Hotel
