City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
129,Castro,-24.79,-50.01,52.56,92,0,4.41,BR,2020-05-11 04:15:34,clear sky,0.0,0.0
130,Plettenberg Bay,-34.05,23.37,61.05,69,0,4.54,ZA,2020-05-11 04:15:27,clear sky,0.0,0.0
131,Saint-Leu,-21.15,55.28,71.6,60,75,6.93,RE,2020-05-11 04:15:34,broken clouds,0.0,0.0
132,Methoni,36.82,21.7,61.0,87,40,8.72,GR,2020-05-11 04:15:34,scattered clouds,0.0,0.0
133,Ostrovnoy,68.05,39.51,36.01,84,100,22.39,RU,2020-05-11 04:15:34,overcast clouds,0.0,0.0
134,Yantzaza,-3.83,-78.76,66.99,84,33,1.03,EC,2020-05-11 04:15:34,scattered clouds,0.0,0.0
135,Ylivieska,64.08,24.55,35.01,94,100,5.01,FI,2020-05-11 04:15:35,overcast clouds,0.0,0.0
136,Sinnamary,5.38,-52.95,78.12,90,99,14.88,GF,2020-05-11 04:15:35,moderate rain,0.0,0.0
137,Agadez,19.75,10.25,74.77,15,0,3.36,NE,2020-05-11 04:15:35,clear sky,0.0,0.0
138,Paamiut,61.99,-49.67,41.36,77,100,11.7,GL,2020-05-11 04:15:35,overcast clouds,0.0,0.0
139,Salalah,17.02,54.09,82.4,83,20,4.7,OM,2020-05-11 04:13:46,few clouds,0.0,0.0
140,Los Llanos De Aridane,28.66,-17.92,66.2,77,26,5.82,ES,2020-05-11 04:15:36,scattered clouds,0.0,0.0
141,Trincomalee,8.57,81.23,85.87,72,84,3.49,LK,2020-05-11 04:15:36,broken clouds,0.0,0.0
142,Buxton,53.26,-1.91,37.0,89,7,1.01,GB,2020-05-11 04:15:36,clear sky,0.0,0.0
143,Puerto El Triunfo,13.28,-88.55,73.4,94,90,4.7,SV,2020-05-11 04:15:36,thunderstorm with light rain,0.0,0.0
144,Verkhnyaya Inta,65.98,60.31,42.31,80,70,9.24,RU,2020-05-11 04:15:36,broken clouds,0.0,0.0
145,Lagoa,39.05,-27.98,57.18,73,43,23.78,PT,2020-05-11 04:14:10,scattered clouds,0.0,0.0
146,Villanueva,15.32,-88.0,77.23,81,19,1.39,HN,2020-05-11 04:14:25,few clouds,0.0,0.0
147,Stromness,58.97,-3.3,37.99,64,98,10.29,GB,2020-05-11 04:12:48,light snow,0.0,0.0
148,Goryachegorsk,55.41,88.92,74.88,30,0,3.89,RU,2020-05-11 04:15:37,clear sky,0.0,0.0
